,Codes,SynData_predicted,Para1,Para3,Para2
0,0.6095000000000002,5.005823467234649,7.0,1.0,10.0
1,0.6905000000000001,8.039741501578543,7.0,10.0,1.0
2,0.5825,5.744145295891066,6.0,9.0,3.0
3,0.5235,2.5271696362948077,6.0,3.0,4.0
4,0.4525,4.603437503314731,5.0,6.0,3.0
5,0.1775,9.666819736170673,2.0,8.0,8.0
6,0.7645,7.1566650715817905,8.0,7.0,5.0
7,0.9715,14.318904907514208,10.0,8.0,2.0
8,0.21950000000000003,4.852998269442118,3.0,2.0,10.0
9,0.6525000000000001,5.538510282163411,7.0,6.0,3.0
10,0.8634999999999999,9.966053876590955,9.0,7.0,4.0
11,0.1675,9.092515729762145,2.0,7.0,8.0
12,0.3825,6.63872941092232,4.0,9.0,3.0
13,0.5075000000000001,2.299016960113081,6.0,1.0,8.0
14,0.47250000000000003,5.378212774104864,5.0,8.0,3.0
15,0.8965000000000001,12.983395982559731,9.0,10.0,7.0
16,0.2635,6.83186841480571,3.0,7.0,4.0
17,0.9225000000000001,11.80692031450802,10.0,3.0,3.0
18,0.9375,13.862082774482548,10.0,4.0,8.0
19,0.15250000000000002,9.739096472201016,2.0,6.0,3.0
20,0.1345,7.503436709701905,2.0,4.0,5.0
21,0.0915,16.257543835251273,1.0,10.0,2.0
22,0.4845,5.110843392148687,5.0,9.0,5.0
23,0.6585000000000001,6.865534128612071,7.0,6.0,9.0
24,0.9115,11.735774323283138,10.0,2.0,2.0
25,0.22250000000000003,5.793593398591346,3.0,3.0,3.0
26,0.0135,10.852303680110932,1.0,2.0,4.0
27,0.8255000000000001,8.27665737370899,9.0,3.0,6.0
28,0.9085000000000001,13.680121502530664,10.0,1.0,9.0
29,0.34550000000000003,3.568015900603174,4.0,5.0,6.0
30,0.31450000000000006,2.4233416931839766,4.0,2.0,5.0
31,0.9305000000000001,12.445984871831786,10.0,4.0,1.0
32,0.5025,2.4740222832200747,6.0,1.0,3.0
33,0.15350000000000003,9.012612060573474,2.0,6.0,4.0
34,0.5095000000000001,3.3561837096279126,6.0,1.0,10.0
35,0.9155000000000001,11.65309731402903,10.0,2.0,6.0
36,0.7415,6.880871622756695,8.0,5.0,2.0
37,0.21050000000000002,6.560142833248679,3.0,2.0,1.0
38,0.7105000000000001,5.809823579861973,8.0,2.0,1.0
39,0.22650000000000003,4.338761059378784,3.0,3.0,7.0
40,0.4355,2.504011951802485,5.0,4.0,6.0
41,0.9345000000000001,12.091047612578041,10.0,4.0,5.0
42,0.30450000000000005,2.0518792153489627,4.0,1.0,5.0
43,0.10350000000000001,7.017567783307236,2.0,1.0,4.0
44,0.5595000000000001,5.899205800626316,6.0,6.0,10.0
